tobs,date
77.0,2016-08-23
77.0,2016-08-24
80.0,2016-08-25
80.0,2016-08-26
75.0,2016-08-27
73.0,2016-08-28
78.0,2016-08-29
77.0,2016-08-30
78.0,2016-08-31
80.0,2016-09-01
80.0,2016-09-02
78.0,2016-09-03
78.0,2016-09-04
78.0,2016-09-05
73.0,2016-09-06
74.0,2016-09-07
80.0,2016-09-08
79.0,2016-09-09
77.0,2016-09-10
80.0,2016-09-11
76.0,2016-09-12
79.0,2016-09-13
75.0,2016-09-14
79.0,2016-09-15
78.0,2016-09-16
79.0,2016-09-17
78.0,2016-09-18
78.0,2016-09-19
76.0,2016-09-20
74.0,2016-09-21
77.0,2016-09-22
78.0,2016-09-23
79.0,2016-09-24
79.0,2016-09-25
77.0,2016-09-26
80.0,2016-09-27
78.0,2016-09-28
78.0,2016-09-29
78.0,2016-09-30
77.0,2016-10-01
79.0,2016-10-02
79.0,2016-10-03
79.0,2016-10-04
79.0,2016-10-05
75.0,2016-10-06
76.0,2016-10-07
73.0,2016-10-08
72.0,2016-10-09
71.0,2016-10-10
77.0,2016-10-11
79.0,2016-10-12
78.0,2016-10-13
79.0,2016-10-14
77.0,2016-10-15
79.0,2016-10-16
77.0,2016-10-17
78.0,2016-10-18
78.0,2016-10-19
78.0,2016-10-20
78.0,2016-10-21
77.0,2016-10-22
74.0,2016-10-23
75.0,2016-10-24
76.0,2016-10-25
73.0,2016-10-26
76.0,2016-10-27
74.0,2016-10-28
77.0,2016-10-29
76.0,2016-10-30
76.0,2016-10-31
74.0,2016-11-01
75.0,2016-11-02
75.0,2016-11-03
75.0,2016-11-04
75.0,2016-11-05
71.0,2016-11-06
63.0,2016-11-07
70.0,2016-11-08
68.0,2016-11-09
67.0,2016-11-10
77.0,2016-11-11
74.0,2016-11-12
77.0,2016-11-13
76.0,2016-11-14
76.0,2016-11-15
75.0,2016-11-16
76.0,2016-11-17
75.0,2016-11-18
73.0,2016-11-19
75.0,2016-11-20
73.0,2016-11-21
75.0,2016-11-22
74.0,2016-11-23
75.0,2016-11-24
74.0,2016-11-25
75.0,2016-11-26
73.0,2016-11-27
75.0,2016-11-28
73.0,2016-11-29
73.0,2016-11-30
74.0,2016-12-01
70.0,2016-12-02
72.0,2016-12-03
70.0,2016-12-04
67.0,2016-12-05
67.0,2016-12-06
69.0,2016-12-07
70.0,2016-12-08
68.0,2016-12-09
69.0,2016-12-10
69.0,2016-12-11
66.0,2016-12-12
65.0,2016-12-13
68.0,2016-12-14
62.0,2016-12-15
75.0,2016-12-16
70.0,2016-12-17
69.0,2016-12-18
76.0,2016-12-19
76.0,2016-12-20
74.0,2016-12-21
73.0,2016-12-22
71.0,2016-12-23
74.0,2016-12-24
74.0,2016-12-25
72.0,2016-12-26
71.0,2016-12-27
72.0,2016-12-28
74.0,2016-12-29
69.0,2016-12-30
67.0,2016-12-31
72.0,2017-01-01
70.0,2017-01-02
64.0,2017-01-03
63.0,2017-01-04
63.0,2017-01-05
62.0,2017-01-06
70.0,2017-01-07
70.0,2017-01-08
62.0,2017-01-09
62.0,2017-01-10
63.0,2017-01-11
65.0,2017-01-12
69.0,2017-01-13
77.0,2017-01-14
70.0,2017-01-15
74.0,2017-01-16
69.0,2017-01-17
72.0,2017-01-18
71.0,2017-01-19
69.0,2017-01-20
71.0,2017-01-21
71.0,2017-01-22
72.0,2017-01-23
72.0,2017-01-24
69.0,2017-01-25
70.0,2017-01-26
66.0,2017-01-27
65.0,2017-01-28
69.0,2017-01-29
68.0,2017-01-30
68.0,2017-01-31
68.0,2017-02-01
59.0,2017-02-02
60.0,2017-02-03
70.0,2017-02-04
73.0,2017-02-05
75.0,2017-02-06
64.0,2017-02-07
59.0,2017-02-08
59.0,2017-02-09
62.0,2017-02-10
68.0,2017-02-11
70.0,2017-02-12
73.0,2017-02-13
79.0,2017-02-14
75.0,2017-02-15
65.0,2017-02-16
70.0,2017-02-17
74.0,2017-02-18
70.0,2017-02-19
70.0,2017-02-20
71.0,2017-02-21
71.0,2017-02-22
71.0,2017-02-23
69.0,2017-02-24
61.0,2017-02-25
67.0,2017-02-26
65.0,2017-02-27
72.0,2017-02-28
71.0,2017-03-01
73.0,2017-03-02
72.0,2017-03-03
77.0,2017-03-04
73.0,2017-03-05
67.0,2017-03-06
62.0,2017-03-07
64.0,2017-03-08
67.0,2017-03-09
66.0,2017-03-10
81.0,2017-03-11
69.0,2017-03-12
66.0,2017-03-13
67.0,2017-03-14
69.0,2017-03-15
66.0,2017-03-16
68.0,2017-03-17
65.0,2017-03-18
74.0,2017-03-19
69.0,2017-03-20
72.0,2017-03-21
73.0,2017-03-22
72.0,2017-03-23
71.0,2017-03-24
76.0,2017-03-25
77.0,2017-03-26
76.0,2017-03-27
74.0,2017-03-28
68.0,2017-03-29
73.0,2017-03-30
71.0,2017-03-31
74.0,2017-04-01
75.0,2017-04-02
70.0,2017-04-03
67.0,2017-04-04
71.0,2017-04-05
67.0,2017-04-06
74.0,2017-04-07
77.0,2017-04-08
78.0,2017-04-09
67.0,2017-04-10
70.0,2017-04-11
69.0,2017-04-12
69.0,2017-04-13
74.0,2017-04-14
78.0,2017-04-15
71.0,2017-04-16
67.0,2017-04-17
68.0,2017-04-18
67.0,2017-04-19
76.0,2017-04-20
69.0,2017-04-21
72.0,2017-04-22
76.0,2017-04-23
68.0,2017-04-24
72.0,2017-04-25
74.0,2017-04-26
70.0,2017-04-27
67.0,2017-04-28
72.0,2017-04-29
60.0,2017-04-30
65.0,2017-05-01
75.0,2017-05-02
70.0,2017-05-03
75.0,2017-05-04
70.0,2017-05-05
79.0,2017-05-06
75.0,2017-05-07
70.0,2017-05-08
67.0,2017-05-09
74.0,2017-05-10
70.0,2017-05-11
75.0,2017-05-12
76.0,2017-05-13
77.0,2017-05-14
74.0,2017-05-15
74.0,2017-05-16
74.0,2017-05-17
69.0,2017-05-18
68.0,2017-05-19
76.0,2017-05-20
74.0,2017-05-21
71.0,2017-05-22
71.0,2017-05-23
74.0,2017-05-24
74.0,2017-05-25
74.0,2017-05-26
74.0,2017-05-27
80.0,2017-05-28
74.0,2017-05-29
72.0,2017-05-30
75.0,2017-05-31
80.0,2017-06-01
76.0,2017-06-02
76.0,2017-06-03
77.0,2017-06-04
75.0,2017-06-05
75.0,2017-06-06
75.0,2017-06-07
75.0,2017-06-08
72.0,2017-06-09
74.0,2017-06-10
74.0,2017-06-11
74.0,2017-06-12
76.0,2017-06-13
74.0,2017-06-14
75.0,2017-06-15
73.0,2017-06-16
79.0,2017-06-17
75.0,2017-06-18
72.0,2017-06-19
72.0,2017-06-20
74.0,2017-06-21
72.0,2017-06-22
72.0,2017-06-23
77.0,2017-06-24
71.0,2017-06-25
73.0,2017-06-26
76.0,2017-06-27
77.0,2017-06-28
76.0,2017-06-29
76.0,2017-06-30
79.0,2017-07-01
81.0,2017-07-02
76.0,2017-07-03
78.0,2017-07-04
77.0,2017-07-05
74.0,2017-07-06
75.0,2017-07-07
78.0,2017-07-08
78.0,2017-07-09
69.0,2017-07-10
72.0,2017-07-11
74.0,2017-07-12
74.0,2017-07-13
76.0,2017-07-14
80.0,2017-07-15
80.0,2017-07-16
76.0,2017-07-17
76.0,2017-07-18
76.0,2017-07-19
77.0,2017-07-20
77.0,2017-07-21
77.0,2017-07-22
82.0,2017-07-23
75.0,2017-07-24
77.0,2017-07-25
75.0,2017-07-26
76.0,2017-07-27
81.0,2017-07-28
82.0,2017-07-29
81.0,2017-07-30
76.0,2017-07-31
77.0,2017-08-04
82.0,2017-08-05
83.0,2017-08-06
77.0,2017-08-13
77.0,2017-08-14
77.0,2017-08-15
76.0,2017-08-16
76.0,2017-08-17
79.0,2017-08-18
